temp,Year,celsius,anomaly
209.3,-68306.85,-63.849999999999966,-8.111494252873548
209.4,-68371.97,-63.74999999999997,-8.011494252873554
211.0,-68436.3,-62.14999999999998,-6.41149425287356
209.7,-68491.96,-63.44999999999999,-7.711494252873571
209.4,-68553.59,-63.74999999999997,-8.011494252873554
209.9,-68616.64,-63.24999999999997,-7.511494252873554
211.3,-68677.33,-61.849999999999966,-6.111494252873548
210.7,-68731.65,-62.44999999999999,-6.711494252873571
211.0,-68788.15,-62.14999999999998,-6.41149425287356
210.3,-68843.77,-62.849999999999966,-7.111494252873548
210.0,-68902.49,-63.14999999999998,-7.41149425287356
210.7,-68961.81,-62.44999999999999,-6.711494252873571
210.5,-69019.32,-62.64999999999998,-6.91149425287356
210.9,-69076.38,-62.24999999999997,-6.511494252873554
210.5,-69132.35,-62.64999999999998,-6.91149425287356
211.4,-69189.64,-61.74999999999997,-6.011494252873554
211.6,-69242.71,-61.54999999999998,-5.811494252873565
210.7,-69295.63,-62.44999999999999,-6.711494252873571
211.9,-69350.48,-61.24999999999997,-5.511494252873554
211.5,-69402.49,-61.64999999999998,-5.91149425287356
211.6,-69454.3,-61.54999999999998,-5.811494252873565
211.8,-69506.12,-61.349999999999966,-5.611494252873548
213.0,-69555.91,-60.14999999999998,-4.41149425287356
212.2,-69603.57,-60.94999999999999,-5.211494252873571
212.6,-69651.38,-60.54999999999998,-4.811494252873565
212.6,-69699.08,-60.54999999999998,-4.811494252873565
213.2,-69745.91,-59.94999999999999,-4.211494252873571
212.7,-69791.35,-60.44999999999999,-4.711494252873571
212.7,-69837.89,-60.44999999999999,-4.711494252873571
212.2,-69884.8,-60.94999999999999,-5.211494252873571
212.8,-69933.7,-60.349999999999966,-4.611494252873548
210.5,-69980.99,-62.64999999999998,-6.91149425287356
210.9,-70038.23,-62.24999999999997,-6.511494252873554
213.0,-70092.79,-60.14999999999998,-4.41149425287356
211.1,-70140.59,-62.04999999999998,-6.311494252873565
211.8,-70194.12,-61.349999999999966,-5.611494252873548
212.0,-70245.73,-61.14999999999998,-5.41149425287356
212.2,-70296.05,-60.94999999999999,-5.211494252873571
212.2,-70345.62,-60.94999999999999,-5.211494252873571
211.2,-70395.94,-61.94999999999999,-6.211494252873571
211.0,-70449.98,-62.14999999999998,-6.41149425287356
211.4,-70504.86,-61.74999999999997,-6.011494252873554
211.3,-70558.79,-61.849999999999966,-6.111494252873548
212.3,-70611.27,-60.849999999999966,-5.111494252873548
211.5,-70662.29,-61.64999999999998,-5.91149425287356
211.4,-70714.46,-61.74999999999997,-6.011494252873554
211.5,-70767.86,-61.64999999999998,-5.91149425287356
211.2,-70821.23,-61.94999999999999,-6.211494252873571
211.3,-70875.47,-61.849999999999966,-6.111494252873548
211.6,-70929.55,-61.54999999999998,-5.811494252873565
211.1,-70982.45,-62.04999999999998,-6.311494252873565
210.9,-71037.59,-62.24999999999997,-6.511494252873554
211.3,-71093.64,-61.849999999999966,-6.111494252873548
210.1,-71149.45,-63.04999999999998,-7.311494252873565
211.1,-71207.88,-62.04999999999998,-6.311494252873565
210.6,-71264.86,-62.54999999999998,-6.811494252873565
210.9,-71322.08,-62.24999999999997,-6.511494252873554
209.9,-71379.41,-63.24999999999997,-7.511494252873554
209.3,-71441.34,-63.849999999999966,-8.111494252873548
210.3,-71506.01,-62.849999999999966,-7.111494252873548
210.0,-71567.59,-63.14999999999998,-7.41149425287356
209.9,-71629.0,-63.24999999999997,-7.511494252873554
210.0,-71691.57,-63.14999999999998,-7.41149425287356
210.5,-71753.0,-62.64999999999998,-6.91149425287356
210.6,-71812.34,-62.54999999999998,-6.811494252873565
210.5,-71870.99,-62.64999999999998,-6.91149425287356
210.7,-71929.61,-62.44999999999999,-6.711494252873571
211.0,-71987.23,-62.14999999999998,-6.41149425287356
210.5,-72043.81,-62.64999999999998,-6.91149425287356
211.6,-72101.31,-61.54999999999998,-5.811494252873565
211.3,-72155.98,-61.849999999999966,-6.111494252873548
211.6,-72209.93,-61.54999999999998,-5.811494252873565
211.7,-72263.14,-61.44999999999999,-5.711494252873571
210.6,-72316.97,-62.54999999999998,-6.811494252873565
212.0,-72372.88,-61.14999999999998,-5.41149425287356
211.1,-72425.91,-62.04999999999998,-6.311494252873565
211.7,-72480.98,-61.44999999999999,-5.711494252873571
210.8,-72533.98,-62.349999999999966,-6.611494252873548
212.6,-72590.68,-60.54999999999998,-4.811494252873565
211.2,-72640.27,-61.94999999999999,-6.211494252873571
211.9,-72694.3,-61.24999999999997,-5.511494252873554
211.9,-72746.36,-61.24999999999997,-5.511494252873554
212.0,-72797.86,-61.14999999999998,-5.41149425287356
211.5,-72849.5,-61.64999999999998,-5.91149425287356
212.1,-72901.99,-61.04999999999998,-5.311494252873565
212.2,-72953.27,-60.94999999999999,-5.211494252873571
213.9,-73001.8,-59.24999999999997,-3.511494252873554
