year,month,meant,rain
2020,1,6.3,36.0
2020,2,5.8,130.4
2020,3,5.8,31.8
2020,4,8.5,12.8
2020,5,10.9,9.3
2020,6,13.4,69.6
2020,7,14.4,98.9
2020,8,14.7,87.1
2020,9,12.8,60.9
2020,10,9.5,80.6
2020,11,8.2,48.1
2020,12,4.9,83.1
2021,1,3.9,115.1
2021,2,6.2,55.0
2021,3,7.2,32.1
2021,4,5.6,10.8
2021,5,9.2,83.5
2021,6,13.7,12.6
2021,7,16.1,72.9
2021,8,14.7,65.3
2021,9,14.7,42.0
2021,10,11.9,79.8
2021,11,7.6,11.7
2021,12,6.5,85.8
2022,1,5.4,14.4
2022,2,6.7,88.5
2022,3,6.6,45.6
2022,4,7.6,28.1
2022,5,11.9,48.4
2022,6,13.6,43.6
2022,7,16.3,29.6
2022,8,15.9,34.6
2022,9,13.0,127.9
2022,10,12.0,106.8
2022,11,8.8,46.1
2022,12,4.4,74.0
2023,1,6.0,41.2
2023,2,7.2,16.2
2023,3,7.0,119.0
2023,4,8.7,77.6
2023,5,11.7,35.9
2023,6,15.3,49.4
2023,7,14.9,149.2
2023,8,15.4,119.4
2023,9,14.5,134.0
2023,10,11.3,125.7
2023,11,7.3,65.1
